41;(41)Zoco-Avda. Irlanda
41b;(41b)Zoco-A.Irlanda- Italia
42;(42)Zocodover-Alemania
L01;(L01)Zocodover - Buenavista
L02;(L02)Pza Conde - Buenavista
L03;(L03)Zoco-Valpara-Legua
L05;(L05)Zocodover- Sta Barbara
L10;(L10)Zocodover - Azucaica
L11;(L11)Zocodover-H.Provincial
L12;(L12)Cornisa- Pza Conde
L5d;(L5d)Santa Barbara Directo
L61;(L61)Zocodover-Benquerencia
L62;(L62)Zoco-Benquerencia-Sur
L71;(L71)Zocodover- Hosp Valle
L72;(L72)Zocodover - Montesion
L72b;(L72b)Zocodover - Montes II
L81;(L81)Est Autobus -Tres Cult
L82;(L82)E Autobus-Paraplejicos
L83;(L83)Bus-Tres Cult-Paraple.
L91;(L91)Benquerencia-Buenavist
L92;(L92)Ambulatorio-Benquerenc
L93;(L93)Benquerencia Buenav-3
L94;(L94)Zocodover- Benqueren.
